"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"4792","Avpr1b",3,6,6,0,11,11,7,0
"4793","Avpr2",0,3,0,1,0,6,2,0
"4794","Awat1",2,0,6,3,4,12,0,0
"4795","Awat2",2,6,8,13,9,3,2,3
"4796","Axdnd1",29,26,37,2,54,46,17,3
"4797","Axin1",221,267,253,357,262,189,319,222
"4798","Axin2",23,31,34,29,38,16,44,21
"4799","Axl",1650,1272,1078,1347,1204,1172,1370,1186
"4800","Aym1",0,0,0,0,0,1,0,0
"4801","Azgp1",2,1,4,0,20,19,5,2
"4802","Azi2",1124,960,1016,1267,970,884,1008,685
"4803","Azin1",1216,961,1048,1231,881,979,892,651
"4804","Azin2",26,30,46,16,42,29,41,19
"4805","B020004C17Rik",9,6,29,13,15,13,9,3
"4806","B020004J07Rik",8,3,2,0,4,7,7,2
"4807","B020011L13Rik",14,4,21,8,18,10,3,5
"4808","B020014A21Rik",7,4,5,8,10,12,9,2
"4809","B020017C02Rik",0,0,0,0,0,2,2,0
"4810","B020018J22Rik",7,0,3,2,2,2,0,2
"4811","B020031H02Rik",9,7,1,7,8,3,3,0
"4812","B020031M17Rik",1,3,5,0,0,1,1,0
"4813","B130006D01Rik",38,13,18,16,22,30,29,13
"4814","B130011K05Rik",5,8,12,5,21,4,4,1
"4815","B130021K23Rik",23,29,30,24,17,14,22,15
"4816","B130024G19Rik",74,47,52,51,66,74,43,40
"4817","B130034C11Rik",6,5,11,15,22,15,14,10
"4818","B130046B21Rik",17,7,4,12,10,9,11,20
"4819","B130055M24Rik",32,26,19,52,32,19,26,17
"4820","B230104I21Rik",4,1,6,2,3,4,1,0
"4821","B230110C06Rik",52,42,85,84,65,58,91,39
"4822","B230110G15Rik",1,5,3,4,5,3,0,3
"4823","B230112G18Rik",0,2,1,0,2,7,0,0
"4824","B230112I24Rik",0,3,7,4,7,4,1,1
"4825","B230112J18Rik",6,0,1,0,0,2,0,0
"4826","B230118H07Rik",476,420,362,493,368,301,354,259
"4827","B230119M05Rik",0,1,1,1,1,6,0,0
"4828","B230206H07Rik",0,2,2,0,5,0,0,0
"4829","B230206I08Rik",19,25,26,17,32,15,37,8
"4830","B230206L02Rik",8,3,2,1,8,2,1,1
"4831","B230207O21Rik",0,0,0,0,0,0,0,0
"4832","B230208B08Rik",5,2,3,14,1,12,2,0
"4833","B230208H11Rik",9,7,16,5,6,4,14,4
"4834","B230209E15Rik",10,8,23,14,12,6,4,1
"4835","B230214G05Rik",1,15,13,2,13,15,7,3
"4836","B230216N24Rik",64,28,64,32,62,41,81,30
"4837","B230217C12Rik",5,8,10,21,23,16,18,5
"4838","B230217J21Rik",16,16,55,43,42,34,23,4
"4839","B230217O12Rik",4,12,2,7,4,15,7,6
"4840","B230219D22Rik",993,881,974,1263,770,1017,1037,611
"4841","B230220B15Rik",3,1,5,1,3,1,0,0
"4842","B230303A05Rik",13,10,25,27,23,14,13,7
"4843","B230303O12Rik",7,16,12,7,27,30,9,1
"4844","B230307C23Rik",23,40,41,33,35,42,44,29
"4845","B230311B06Rik",1,1,2,2,4,1,4,1
"4846","B230312C02Rik",26,6,12,11,21,26,18,23
"4847","B230317F23Rik",3,10,18,8,18,21,5,4
"4848","B230319C09Rik",11,8,4,7,10,11,5,4
"4849","B230322F03Rik",21,11,3,20,5,3,10,5
"4850","B230323A14Rik",12,5,12,8,16,22,5,6
"4851","B230334C09Rik",4,8,32,19,47,23,32,5
"4852","B230344G16Rik",2,2,0,0,5,0,2,0
"4853","B230354K17Rik",115,59,111,145,148,124,118,31
"4854","B230359F08Rik",0,0,1,0,0,0,0,3
"4855","B230362B09Rik",65,26,44,41,51,58,36,23
"4856","B230364G03Rik",5,1,1,5,10,0,5,0
"4857","B230369F24Rik",10,9,6,2,1,2,3,2
"4858","B230377A18Rik",6,8,15,7,10,10,9,5
"4859","B230398E01Rik",0,0,2,0,3,1,0,0
"4860","B2m",1704,1443,1485,1987,2142,1158,5075,1967
"4861","B330016D10Rik",72,45,41,65,25,24,26,37
"4862","B3galnt1",73,41,70,57,53,44,79,19
"4863","B3galnt2",554,608,545,744,516,507,526,420
"4864","B3galt1",36,65,75,42,54,74,43,33
"4865","B3galt2",132,127,170,157,188,185,182,85
"4866","B3galt4",24,33,27,28,22,26,10,7
"4867","B3galt5",8,6,48,14,29,24,7,8
"4868","B3galt6",87,147,80,111,94,62,83,80
"4869","B3gat1",10,17,5,2,20,27,3,0
"4870","B3gat2",45,23,49,33,43,53,27,17
