"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"1","0610005C13Rik",10,8,9,3,7,23,12,2
"2","0610006L08Rik",1,0,5,4,2,11,9,4
"3","0610009B22Rik",207,198,167,205,138,111,160,128
"4","0610009E02Rik",9,5,5,7,7,4,2,5
"5","0610009L18Rik",54,105,43,72,51,43,42,44
"6","0610010F05Rik",189,183,261,222,228,208,219,152
"7","0610010K14Rik",18,35,41,44,14,24,27,13
"8","0610012D04Rik",0,0,7,0,3,1,2,5
"9","0610012G03Rik",748,822,511,861,616,445,552,490
"10","0610025J13Rik",7,12,14,2,23,8,6,3
"11","0610030E20Rik",13,20,11,27,22,9,20,24
"12","0610031O16Rik",11,12,8,5,3,15,3,1
"13","0610033M10Rik",0,0,0,1,1,7,8,0
"14","0610037L13Rik",449,445,381,515,335,384,429,302
"15","0610038B21Rik",21,14,14,15,23,21,28,9
"16","0610039K10Rik",0,4,0,10,5,0,6,0
"17","0610040B10Rik",9,22,6,16,23,9,16,10
"18","0610040F04Rik",9,13,13,6,8,12,9,0
"19","0610040J01Rik",93,104,99,106,91,66,94,84
"20","0610043K17Rik",4,2,13,9,11,7,6,5
"21","0710001A04Rik",1,0,6,0,5,2,1,0
"22","1010001B22Rik",11,4,7,6,2,11,5,3
"23","1010001N08Rik",63,80,68,77,65,45,71,49
"24","1100001I12Rik",0,0,0,0,0,0,0,0
"25","1110002E22Rik",743,747,680,652,488,777,652,436
"26","1110002J07Rik",0,0,5,3,2,13,7,0
"27","1110002L01Rik",44,25,45,30,46,22,51,29
"28","1110002O04Rik",3,2,0,2,0,0,6,1
"29","1110003F10Rik",11,7,7,5,3,4,7,6
"30","1110004F10Rik",468,564,441,570,441,358,565,371
"31","1110006O24Rik",1,7,2,2,7,4,4,7
"32","1110008E08Rik",0,0,4,3,3,0,1,2
"33","1110008L16Rik",88,57,66,136,99,88,79,37
"34","1110008P14Rik",154,123,108,117,124,61,114,81
"35","1110012L19Rik",76,78,50,83,60,77,78,45
"36","1110013H19Rik",0,7,5,0,8,5,12,12
"37","1110015O18Rik",14,3,22,9,24,14,9,2
"38","1110017D15Rik",0,5,7,0,6,7,1,0
"39","1110018N20Rik",38,29,25,49,31,35,24,10
"40","1110019B22Rik",0,1,0,2,1,5,3,0
"41","1110019D14Rik",46,45,29,44,50,59,28,26
"42","1110020A21Rik",9,6,9,11,8,2,9,5
"43","1110025L11Rik",0,0,0,4,6,1,5,0
"44","1110025M09Rik",5,3,1,6,3,2,4,1
"45","1110028F11Rik",0,0,0,0,0,0,3,0
"46","1110028F18Rik",5,3,4,0,9,1,4,2
"47","1110032A03Rik",90,101,65,116,103,114,130,100
"48","1110032F04Rik",6,8,11,7,11,15,12,6
"49","1110035H17Rik",4,0,3,0,0,4,1,4
"50","1110036E04Rik",0,0,4,0,2,3,2,0
"51","1110038B12Rik",22,13,15,9,33,27,18,8
"52","1110038F14Rik",133,104,97,130,79,56,118,89
"53","1110046J04Rik",30,24,9,17,22,39,16,11
"54","1110051M20Rik",268,210,240,305,224,202,203,167
"55","1110057P08Rik",0,3,6,0,2,8,0,0
"56","1110059E24Rik",160,147,138,123,158,149,140,84
"57","1110059G10Rik",85,76,65,73,76,53,58,42
"58","1110060G06Rik",1,7,1,0,5,3,0,0
"59","1110065P20Rik",78,95,49,110,101,47,56,68
"60","1190001M18Rik",6,0,1,1,5,2,11,0
"61","1190002N15Rik",825,764,681,878,637,595,621,455
"62","1190005I06Rik",8,6,5,42,10,8,5,16
"63","1190007I07Rik",114,143,91,125,87,109,114,77
"64","1190028D05Rik",2,5,8,2,6,6,0,0
"65","1200007C13Rik",20,15,1,8,4,2,1,4
"66","1300002E11Rik",53,71,74,95,111,73,93,45
"67","1300014J16Rik",16,16,5,17,9,14,11,1
"68","1300017J02Rik",10,4,10,12,29,41,7,7
"69","1500002C15Rik",20,8,11,7,25,18,12,21
"70","1500002F19Rik",22,9,6,10,17,20,12,6
"71","1500004A13Rik",41,45,19,27,63,50,40,27
"72","1500005C15Rik",3,0,2,7,17,14,4,5
"73","1500009C09Rik",0,11,0,2,0,6,5,0
"74","1500009L16Rik",46,62,51,45,71,41,47,35
"75","1500011B03Rik",25,21,18,43,32,14,28,30
"76","1500011K16Rik",124,140,79,132,132,53,115,106
"77","1500012K07Rik",5,5,9,6,15,13,20,2
"78","1500015A07Rik",26,12,32,28,25,7,27,16
"79","1500015L24Rik",4,0,5,0,10,3,0,0
"80","1500015O10Rik",23,13,17,34,30,27,17,19
"81","1500026H17Rik",4,2,16,4,21,21,15,12
"82","1500035N22Rik",6,2,4,10,8,11,11,4
"83","1520401A03Rik",3,3,4,2,15,21,6,1
"84","1600002K03Rik",12,23,13,47,8,10,27,23
"85","1600010M07Rik",5,7,10,4,20,8,9,6
"86","1600012H06Rik",251,219,242,279,227,226,252,167
"87","1600012P17Rik",5,9,5,3,1,10,2,0
"88","1600014C10Rik",733,767,607,870,704,555,652,459
"89","1600014C23Rik",1,1,0,2,1,0,3,5
"90","1600015I10Rik",8,17,10,5,8,16,16,1
"91","1600017P15Rik",2,4,1,4,8,4,5,8
"92","1600019K03Rik",2,0,1,5,1,4,2,1
"93","1600020E01Rik",53,50,50,60,50,51,46,37
"94","1600023N17Rik",5,1,5,3,10,6,1,0
"95","1600025M17Rik",1,5,5,2,11,5,9,3
"96","1600027J07Rik",0,4,3,1,9,3,0,1
"97","1600029O15Rik",0,2,15,0,3,1,0,7
"98","1700001C02Rik",1,2,0,0,1,6,6,2
"99","1700001C19Rik",0,5,0,1,0,0,0,0
"100","1700001D01Rik",6,5,20,8,17,20,15,7
"101","1700001F09Rik",5,9,3,9,10,8,10,0
"102","1700001G01Rik",4,11,22,14,28,31,17,6
"103","1700001G11Rik",3,3,4,2,3,5,2,0
"104","1700001G17Rik",0,1,0,0,4,0,2,0
"105","1700001J03Rik",2,0,3,2,10,5,9,4
"106","1700001J04Rik",0,0,1,0,0,0,0,0
"107","1700001J11Rik",21,9,15,16,16,21,12,0
"108","1700001K19Rik",5,8,6,9,26,2,10,5
"109","1700001L05Rik",12,36,15,15,44,44,24,13
"110","1700001L19Rik",1,2,0,1,0,1,5,0
"111","1700001N15Rik",9,5,7,11,19,7,9,0
"112","1700001O22Rik",3,2,6,1,12,15,21,1
"113","1700001P01Rik",0,2,7,0,10,6,0,0
"114","1700003C15Rik",3,3,1,0,0,4,3,2
"115","1700003D09Rik",0,0,0,2,0,0,0,5
"116","1700003E16Rik",55,23,5,11,10,10,20,14
"117","1700003E24Rik",0,0,0,0,3,0,0,0
"118","1700003F12Rik",1,6,3,2,2,0,4,0
"119","1700003G13Rik",3,0,0,2,10,5,1,0
"120","1700003G18Rik",6,4,8,6,9,5,13,3
"121","1700003H04Rik",28,21,12,5,13,6,17,6
"122","1700003I16Rik",0,5,8,1,1,7,2,0
"123","1700003I22Rik",8,1,5,1,0,4,0,1
"124","1700003L19Rik",10,3,14,10,29,27,7,1
"125","1700003M07Rik",0,2,0,0,3,3,0,1
"126","1700003N22Rik",0,3,2,1,0,4,1,0
"127","1700003P14Rik",8,0,17,10,15,4,4,1
"128","1700006A11Rik",23,3,27,26,18,37,31,2
"129","1700006F04Rik",8,0,6,1,6,2,1,3
"130","1700006H21Rik",1,2,0,5,2,7,4,0
"131","1700006J14Rik",1,3,9,10,7,3,6,2
"132","1700006P03Rik",0,1,1,2,1,2,3,0
"133","1700007E05Rik",0,1,8,9,6,7,4,5
"134","1700007F19Rik",0,2,14,10,12,19,13,1
"135","1700007J10Rik",7,5,6,20,12,19,15,11
"136","1700007K13Rik",4,11,0,1,3,5,4,0
"137","1700007L15Rik",18,14,9,7,19,8,9,6
"138","1700007M16Rik",3,1,3,2,3,4,2,1
"139","1700007P06Rik",16,3,3,5,10,2,10,0
"140","1700008A23Rik",0,0,0,0,1,1,0,0
"141","1700008B11Rik",2,2,0,1,0,1,0,2
"142","1700008C04Rik",4,5,2,2,12,4,11,0
"143","1700008H02Rik",13,2,3,6,19,0,3,6
"144","1700008J07Rik",26,31,27,26,46,20,48,19
"145","1700008K24Rik",5,0,0,0,3,7,6,0
"146","1700008N11Rik",0,0,1,3,0,1,3,0
"147","1700008O03Rik",2,3,1,17,19,3,7,0
"148","1700008P02Rik",2,3,11,0,4,2,2,6
"149","1700009C05Rik",10,3,3,4,16,20,2,0
"150","1700009J07Rik",0,3,2,6,8,3,1,0
"151","1700009N14Rik",0,0,0,1,2,14,10,2
"152","1700010B08Rik",0,2,0,1,5,4,4,0
"153","1700010B13Rik",2,6,3,1,8,15,5,0
"154","1700010D01Rik",0,0,0,0,0,0,2,0
"155","1700010G06Rik",2,1,3,5,3,7,1,0
"156","1700010H22Rik",2,1,0,4,6,2,8,0
"157","1700010I02Rik",3,1,3,2,3,2,6,1
"158","1700010I14Rik",11,14,20,6,15,2,12,0
"159","1700010J16Rik",9,2,16,1,10,10,3,1
"160","1700010K23Rik",0,0,0,2,2,1,0,2
"161","1700010K24Rik",1,1,0,0,0,0,0,0
"162","1700010L04Rik",3,13,2,14,7,11,5,0
"163","1700010N08Rik",3,1,2,5,5,1,0,3
"164","1700011B04Rik",2,7,5,3,18,25,9,0
"165","1700011C11Rik",0,0,2,0,5,4,0,1
"166","1700011D18Rik",2,1,0,0,8,1,1,0
"167","1700011L03Rik",0,0,0,2,0,3,4,0
"168","1700011L22Rik",2,0,5,4,3,11,1,0
"169","1700011M02Rik",0,0,0,0,2,0,0,0
"170","1700012A03Rik",0,0,0,2,2,10,0,1
"171","1700012B07Rik",0,1,6,4,4,12,2,0
"172","1700012B09Rik",5,0,7,2,3,8,2,3
"173","1700012C08Rik",0,0,0,0,0,0,0,0
"174","1700012C14Rik",0,0,0,0,0,0,0,0
"175","1700012D14Rik",102,56,57,102,61,75,79,35
"176","1700012D16Rik",0,0,0,1,2,3,2,0
"177","1700012E03Rik",3,1,0,6,1,0,2,0
"178","1700012I11Rik",12,5,7,1,10,18,12,0
"179","1700012J15Rik",2,1,1,0,1,0,4,0
"180","1700012J22Rik",5,2,2,3,8,5,0,5
"181","1700012P22Rik",0,2,0,1,3,3,0,0
"182","1700013A02Rik",1,0,0,0,1,8,0,1
"183","1700013D24Rik",10,3,2,2,3,0,4,2
"184","1700013F07Rik",2,4,12,3,11,13,10,7
"185","1700013G24Rik",0,0,0,0,0,0,0,0
"186","1700013H16Rik",0,0,1,0,3,11,1,0
"187","1700013M08Rik",0,7,4,2,4,2,5,3
"188","1700013N06Rik",2,0,4,3,4,5,5,1
"189","1700014D04Rik",1,3,6,3,11,7,8,0
"190","1700014F14Rik",3,1,0,0,0,1,0,2
"191","1700014L14Rik",3,3,0,0,0,1,0,0
"192","1700015C15Rik",0,7,2,0,1,5,3,2
"193","1700015C17Rik",1,1,2,0,9,2,3,0
"194","1700015F17Rik",11,5,16,13,11,4,11,2
"195","1700015G11Rik",7,0,0,2,14,2,0,0
"196","1700015H07Rik",2,0,0,0,4,8,2,4
"197","1700015I17Rik",0,4,4,4,7,4,4,0
"198","1700015O11Rik",0,0,1,0,3,1,1,0
"199","1700016A09Rik",1,0,0,0,4,0,0,0
"200","1700016B01Rik",0,0,2,0,0,2,0,0
"201","1700016B15Rik",0,0,3,1,0,0,1,0
"202","1700016C15Rik",3,2,8,6,8,20,10,1
"203","1700016D06Rik",10,11,3,3,11,8,4,4
"204","1700016D08Rik",0,0,0,0,0,0,0,0
"205","1700016F12Rik",0,0,0,0,0,1,4,0
"206","1700016G22Rik",2,3,1,2,0,4,6,1
"207","1700016H03Rik",0,0,0,0,4,0,0,0
"208","1700016H13Rik",0,0,0,6,0,3,0,0
"209","1700016J18Rik",1,1,1,4,0,0,0,0
"210","1700016K05Rik",11,8,10,11,6,10,8,6
"211","1700016K19Rik",0,1,3,0,4,2,0,2
"212","1700016L21Rik",8,4,7,5,10,11,5,5
"213","1700016P03Rik",1,0,0,0,0,0,0,3
"214","1700016P04Rik",0,9,4,3,7,4,3,0
"215","1700017B05Rik",269,239,133,235,122,135,221,144
"216","1700017D01Rik",10,9,7,13,13,13,23,0
"217","1700017G19Rik",12,0,1,3,7,3,0,0
"218","1700017I07Rik",0,0,1,1,1,2,0,0
"219","1700017J07Rik",0,2,4,0,1,1,0,0
"220","1700017L05Rik",0,0,3,1,0,0,0,0
"221","1700017M07Rik",4,8,12,7,14,28,11,5
"222","1700017N19Rik",17,7,21,6,45,23,19,1
"223","1700018A04Rik",0,1,20,10,19,12,22,6
"224","1700018A14Rik",0,0,0,0,1,0,0,0
"225","1700018A23Rik",0,0,3,0,0,2,1,2
"226","1700018B08Rik",3,0,6,1,5,1,2,0
"227","1700018B24Rik",0,0,0,0,0,0,0,0
"228","1700018F24Rik",0,2,1,2,2,0,0,0
"229","1700018G05Rik",1,4,2,3,4,0,2,1
"230","1700018L02Rik",32,48,34,41,46,36,19,13
"231","1700018M17Rik",3,0,0,0,0,0,0,2
"232","1700018P08Rik",7,6,8,5,3,8,3,0
"233","1700019A02Rik",6,0,4,6,11,8,2,6
"234","1700019A23Rik",0,0,0,0,0,0,0,0
"235","1700019C18Rik",0,8,1,6,14,8,7,0
"236","1700019D03Rik",42,24,55,49,46,32,57,28
"237","1700019E08Rik",8,7,2,0,6,4,8,1
"238","1700019F05Rik",0,0,5,0,0,0,7,0
"239","1700019G24Rik",6,0,11,7,4,9,4,0
"240","1700019J19Rik",15,11,8,1,22,9,24,0
"241","1700019L13Rik",7,1,2,1,3,5,2,3
"242","1700019M22Rik",0,0,6,0,0,0,3,2
"243","1700019N19Rik",0,1,2,3,6,2,0,0
"244","1700019P21Rik",0,0,1,0,0,1,2,0
"245","1700020A23Rik",0,0,1,0,0,4,2,0
"246","1700020D05Rik",0,0,0,1,1,0,1,0
"247","1700020D12Rik",3,1,4,0,4,5,3,3
"248","1700020G03Rik",2,0,0,0,3,0,0,0
"249","1700020G17Rik",13,2,4,2,13,14,3,4
"250","1700020I14Rik",2343,1841,1972,2650,2371,2330,2336,1577
"251","1700020L24Rik",1,2,0,0,0,3,0,2
"252","1700020M21Rik",6,0,2,0,0,0,0,3
"253","1700020N01Rik",1,3,6,2,2,0,5,4
"254","1700020N15Rik",0,0,0,0,0,3,0,0
"255","1700020N18Rik",3,1,1,4,2,1,0,1
"256","1700021A07Rik",6,10,5,0,3,3,5,1
"257","1700021F02Rik",1,0,2,0,4,4,0,0
"258","1700021F05Rik",400,390,351,421,330,294,313,284
"259","1700021F07Rik",3,0,0,0,0,1,3,0
"260","1700021F13Rik",4,0,5,7,2,0,3,0
"261","1700021G15Rik",4,2,3,0,5,2,5,1
"262","1700021J08Rik",2,2,1,0,2,0,0,0
"263","1700021L23Rik",0,0,0,0,7,0,0,0
"264","1700021N21Rik",0,0,0,0,0,0,2,0
"265","1700021P04Rik",1,2,0,3,8,3,0,0
"266","1700022A21Rik",0,1,0,0,0,4,0,0
"267","1700022A22Rik",7,4,9,8,10,5,6,1
"268","1700022E09Rik",6,0,4,3,2,2,0,0
"269","1700022H01Rik",0,1,4,2,4,4,5,0
"270","1700022H16Rik",0,1,3,4,2,3,1,0
"271","1700022I11Rik",11,9,4,2,15,19,8,0
"272","1700022N22Rik",9,5,2,0,0,2,3,1
"273","1700023C21Rik",1,0,2,0,2,2,2,0
"274","1700023F02Rik",13,16,8,4,4,5,9,2
"275","1700023F06Rik",0,0,0,1,0,1,5,0
"276","1700023G09Rik",0,3,2,7,2,2,2,2
"277","1700023H06Rik",10,0,12,6,6,10,2,3
"278","1700024B05Rik",1,2,2,1,2,8,5,0
"279","1700024B18Rik",3,7,12,0,3,3,0,1
"280","1700024G13Rik",4,3,2,4,3,4,0,0
"281","1700024I08Rik",7,1,0,1,3,1,5,0
"282","1700024J04Rik",4,7,8,5,5,9,0,0
"283","1700024P04Rik",2,0,1,0,5,1,0,0
"284","1700025A08Rik",0,0,2,1,1,0,1,0
"285","1700025B11Rik",0,0,5,5,3,3,1,2
"286","1700025C18Rik",1,0,0,7,1,1,0,0
"287","1700025D23Rik",1,0,0,2,2,0,0,0
"288","1700025F22Rik",14,11,12,11,22,14,13,5
"289","1700025F24Rik",1,0,5,7,11,5,7,3
"290","1700025G04Rik",370,343,346,463,334,269,467,291
"291","1700025H01Rik",0,0,1,0,1,7,0,0
"292","1700025J12Rik",0,2,6,0,7,0,2,0
"293","1700025K04Rik",3,7,2,8,1,9,2,3
"294","1700025K24Rik",3,1,6,3,3,4,3,2
"295","1700025L06Rik",3,4,3,3,9,4,8,0
"296","1700025M24Rik",0,1,9,0,8,5,4,0
"297","1700025N21Rik",0,4,0,1,1,1,0,0
"298","1700025N23Rik",1,0,0,6,2,0,0,2
"299","1700025O08Rik",3,9,14,2,6,8,4,1
"300","1700026D11Rik",7,3,3,9,8,10,9,0
"301","1700026F02Rik",9,8,15,4,10,12,1,4
"302","1700026J12Rik",11,2,5,9,14,0,4,1
"303","1700026J14Rik",0,0,2,1,0,0,1,0
"304","1700026N04Rik",0,1,18,1,0,4,2,0
"305","1700027A07Rik",0,0,3,1,0,0,2,0
"306","1700027A15Rik",1,20,7,4,11,2,9,0
"307","1700027F06Rik",0,0,0,1,6,1,0,1
"308","1700027F09Rik",13,14,4,0,9,4,2,0
"309","1700027H10Rik",7,5,19,8,4,13,1,11
"310","1700027I24Rik",5,2,6,1,5,0,3,0
"311","1700027J07Rik",9,2,15,6,24,18,3,1
"312","1700028B04Rik",3,5,0,0,6,6,0,1
"313","1700028D13Rik",3,0,1,0,0,6,0,0
"314","1700028E10Rik",30,37,33,28,45,44,22,20
"315","1700028I16Rik",1,0,1,0,3,0,8,2
"316","1700028J19Rik",6,9,7,9,19,17,14,8
"317","1700028K03Rik",29,15,23,15,35,22,26,3
"318","1700028M03Rik",0,2,1,2,4,4,0,0
"319","1700028N14Rik",7,3,3,6,9,13,3,5
"320","1700028P14Rik",6,0,5,0,6,9,5,0
"321","1700028P15Rik",4,0,0,3,6,2,9,2
"322","1700029B22Rik",0,1,0,0,1,4,1,0
"323","1700029B24Rik",1,5,0,0,0,1,0,0
"324","1700029E06Rik",1,0,1,0,1,1,0,0
"325","1700029F12Rik",1,2,6,2,12,8,8,0
"326","1700029H14Rik",0,3,8,0,8,12,3,0
"327","1700029I15Rik",5,2,6,9,18,3,5,13
"328","1700029J03Rik",6,2,3,7,6,8,8,0
"329","1700029J07Rik",36,18,46,49,36,37,24,24
"330","1700029M03Rik",1,0,6,1,6,4,9,0
"331","1700029M20Rik",0,5,0,6,3,4,8,0
"332","1700029N11Rik",6,1,12,14,4,6,12,0
"333","1700029P11Rik",0,0,0,0,5,0,0,0
"334","1700030A11Rik",1,0,2,0,3,0,0,0
"335","1700030C10Rik",22,14,19,16,40,18,22,13
"336","1700030C12Rik",0,0,0,0,1,3,0,0
"337","1700030C14Rik",0,0,0,1,0,3,5,0
"338","1700030E10Rik",0,1,1,0,7,10,2,1
"339","1700030F04Rik",6,4,0,13,4,9,5,0
"340","1700030I03Rik",0,4,0,5,2,5,0,0
"341","1700030J22Rik",1,10,0,16,4,7,6,0
"342","1700030K09Rik",95,127,83,111,106,78,67,55
"343","1700030L20Rik",0,1,8,2,1,6,1,0
"344","1700030L22Rik",3,3,1,8,5,10,2,0
"345","1700030M09Rik",0,3,3,6,4,1,4,0
"346","1700030N03Rik",3,5,1,1,1,14,2,7
"347","1700030N18Rik",0,0,0,1,5,2,1,4
"348","1700030O20Rik",1,0,0,2,4,3,0,0
"349","1700031A10Rik",6,10,7,3,3,2,3,0
"350","1700031F05Rik",0,0,5,2,3,3,1,0
"351","1700031F10Rik",0,0,1,0,0,0,0,0
"352","1700031L13Rik",1,5,2,2,3,0,2,2
"353","1700031M16Rik",7,5,10,1,5,13,6,3
"354","1700031P21Rik",0,1,5,0,4,3,0,0
"355","1700034B16Rik",0,1,0,4,3,9,0,0
"356","1700034E13Rik",3,1,3,10,9,11,7,1
"357","1700034G24Rik",0,1,3,1,1,0,3,0
"358","1700034H15Rik",0,0,0,0,0,0,0,0
"359","1700034I23Rik",0,0,0,0,0,0,0,0
"360","1700034J04Rik",3,5,0,1,2,7,3,2
"361","1700034J05Rik",2,18,27,25,24,28,22,6
"362","1700034K08Rik",3,4,8,6,13,16,4,0
"363","1700034P13Rik",18,10,16,7,14,3,12,5
"364","1700036A12Rik",3,3,2,4,1,3,6,0
"365","1700036G14Rik",0,5,2,4,6,5,10,1
"366","1700036O09Rik",0,0,0,0,1,0,0,0
"367","1700037C06Rik",0,0,0,0,0,1,0,0
"368","1700037C18Rik",32,50,42,36,32,39,39,14
"369","1700037F03Rik",0,0,1,2,5,3,1,0
"370","1700037F24Rik",0,0,0,0,0,1,6,0
"371","1700037H04Rik",160,100,106,148,104,95,149,84
"372","1700039E22Rik",3,1,2,4,3,6,0,0
"373","1700039I01Rik",0,0,1,1,1,0,0,0
"374","1700039M10Rik",3,0,0,3,0,3,3,1
"375","1700039M15Rik",3,0,1,1,4,13,1,1
"376","1700040D17Rik",3,4,3,6,18,9,0,5
"377","1700040E09Rik",0,1,0,1,1,3,8,3
"378","1700040F15Rik",0,0,0,0,0,0,0,0
"379","1700040F17Rik",6,6,5,4,13,2,12,0
"380","1700040K01Rik",0,0,0,0,0,0,0,0
"381","1700040L08Rik",0,0,0,0,1,0,3,0
"382","1700041B01Rik",0,0,0,0,0,0,0,0
"383","1700041C23Rik",0,0,1,4,2,1,3,0
"384","1700041G16Rik",1,0,2,3,11,2,5,0
"385","1700041I07Rik",0,2,2,2,0,0,0,0
"386","1700041M05Rik",0,0,2,0,2,0,0,0
"387","1700041M19Rik",3,1,10,10,6,5,4,2
"388","1700042D02Rik",0,0,1,2,1,0,0,0
"389","1700042G07Rik",0,0,3,0,3,1,0,0
"390","1700042G15Rik",1,2,2,0,1,3,0,0
"391","1700042O05Rik",0,2,1,5,1,5,0,0
"392","1700042O10Rik",0,2,2,2,1,10,6,6
"393","1700044C05Rik",0,0,5,4,2,1,1,0
"394","1700044K03Rik",0,0,2,0,0,4,0,0
"395","1700045H11Rik",0,5,0,7,7,2,4,0
"396","1700045I11Rik",0,0,0,0,0,0,0,0
"397","1700046C09Rik",3,2,2,0,3,1,5,0
"398","1700047A11Rik",7,1,0,0,4,3,0,0
"399","1700047E10Rik",4,2,2,0,0,0,0,0
"400","1700047F07Rik",4,4,6,0,8,7,4,2
"401","1700047G03Rik",3,1,1,5,8,9,5,0
"402","1700047G07Rik",2,4,1,0,12,3,2,2
"403","1700047I17Rik2",1,0,0,0,0,0,0,0
"404","1700047K16Rik",15,1,16,8,4,2,5,0
"405","1700047L14Rik",3,3,6,1,12,5,1,7
"406","1700047M11Rik",4,4,8,10,14,13,6,7
"407","1700047N06Rik",2,1,4,2,1,12,4,2
"408","1700047O18Rik",0,0,0,0,2,0,1,1
"409","1700048F04Rik",0,1,0,0,0,1,2,0
"410","1700048M11Rik",0,5,7,2,0,5,1,0
"411","1700048O20Rik",6,10,7,9,8,6,0,7
"412","1700048P04Rik",0,1,0,5,0,2,1,2
"413","1700049E15Rik",0,1,2,14,3,11,0,0
"414","1700049E17Rik1",0,0,0,0,0,0,0,0
"415","1700049E17Rik2",0,0,0,1,0,0,0,0
"416","1700049E22Rik",0,0,0,5,2,2,0,1
"417","1700049J03Rik",0,0,1,0,2,6,0,0
"418","1700049L16Rik",4,1,1,0,3,6,1,0
"419","1700051A21Rik",1,0,2,0,0,0,0,0
"420","1700051K13Rik",0,0,0,4,0,0,1,0
"421","1700051O22Rik",0,0,3,0,2,2,6,0
"422","1700052H01Rik",4,1,8,4,14,7,3,0
"423","1700052I22Rik",0,3,0,0,0,1,4,0
"424","1700052K11Rik",54,49,38,70,41,54,51,26
"425","1700054A03Rik",1,0,0,2,5,6,5,0
"426","1700054K02Rik",0,0,4,0,2,0,0,0
"427","1700054K19Rik",0,0,4,0,6,2,1,1
"428","1700054M17Rik",0,0,2,0,0,1,2,0
"429","1700054O05Rik",0,3,5,0,3,1,5,0
"430","1700054O19Rik",0,0,3,0,0,0,7,0
"431","1700055C04Rik",0,1,0,0,3,4,2,0
"432","1700055D18Rik",1,7,17,10,13,12,18,4
"433","1700056E22Rik",10,2,30,23,19,6,11,10
"434","1700056N10Rik",15,6,15,21,17,20,6,8
"435","1700057G04Rik",11,18,28,10,12,18,12,3
"436","1700057H15Rik",1,1,5,1,1,2,3,2
"437","1700057H21Rik",8,4,7,2,4,11,7,1
"438","1700058P15Rik",6,3,1,0,0,3,2,1
"439","1700060C16Rik",0,1,6,7,4,4,7,1
"440","1700060C20Rik",0,0,0,1,1,2,1,0
"441","1700060J05Rik",1,10,6,6,7,14,6,5
"442","1700060O08Rik",0,0,0,0,0,1,2,1
"443","1700061E17Rik",0,0,0,0,0,0,0,0
"444","1700061E18Rik",0,0,4,0,1,0,0,0
"445","1700061F12Rik",2,1,24,8,11,7,16,6
"446","1700061G19Rik",7,4,12,5,11,2,1,7
"447","1700061H18Rik",2,0,9,0,0,7,6,4
"448","1700061I17Rik",10,13,15,6,19,21,9,3
"449","1700061J23Rik",0,2,1,6,1,3,4,0
"450","1700061N14Rik",0,0,1,0,0,0,0,0
"451","1700062C10Rik",3,2,4,3,3,4,6,0
"452","1700063A18Rik",9,3,2,6,4,7,6,3
"453","1700063D05Rik",2,4,2,0,10,3,5,0
"454","1700063H04Rik",0,0,2,4,4,3,3,0
"455","1700063H06Rik",0,0,1,5,1,3,7,0
"456","1700063I16Rik",0,1,0,0,3,6,1,4
"457","1700063K16Rik",0,0,3,1,5,4,8,3
"458","1700063O14Rik",0,0,0,0,4,7,2,0
"459","1700064H15Rik",0,5,3,0,8,4,6,1
"460","1700064J06Rik",1,1,1,1,5,5,4,0
"461","1700064M15Rik",6,0,4,10,9,5,6,1
"462","1700065D16Rik",2,0,0,7,17,18,16,0
"463","1700065I16Rik",1,4,4,0,5,11,0,4
"464","1700065J11Rik",0,0,1,0,6,2,2,0
"465","1700065J18Rik",0,1,0,4,2,3,0,0
"466","1700065L07Rik",4,0,6,2,11,1,0,0
"467","1700065O20Rik",7,3,3,2,11,9,7,0
"468","1700066B17Rik",4,1,7,4,5,9,2,4
"469","1700066B19Rik",4,8,2,5,11,10,7,5
"470","1700066C05Rik",0,6,0,0,4,5,0,0
"471","1700066J03Rik",0,1,0,2,0,14,0,0
"472","1700066M21Rik",58,42,80,70,114,76,69,41
"473","1700066N21Rik",0,7,3,1,7,3,12,0
"474","1700066O22Rik",10,2,6,12,17,14,8,5
"475","1700067G17Rik",1,0,2,2,6,3,8,0
"476","1700067K01Rik",22,5,10,24,11,22,14,10
"477","1700067P10Rik",0,0,0,0,0,0,0,0
"478","1700069B07Rik",1,7,0,1,1,0,8,0
"479","1700069L16Rik",0,2,1,0,0,7,4,1
"480","1700069P05Rik",0,0,0,1,8,2,2,0
"481","1700071G01Rik",0,0,0,0,0,5,1,0
"482","1700071K01Rik",4,0,4,0,0,1,0,0
"483","1700071M16Rik",2,18,13,5,22,29,31,3
"484","1700072B07Rik",0,0,0,0,0,0,0,0
"485","1700072G22Rik",0,0,2,0,1,3,0,0
"486","1700072O05Rik",1,0,0,0,0,1,0,3
"487","1700073E17Rik",1,4,11,2,13,4,3,1
"488","1700074A21Rik",0,0,0,2,0,0,0,0
"489","1700074H08Rik",6,0,1,2,9,2,7,0
"490","1700074P13Rik",7,10,19,11,10,13,10,1
"491","1700080E11Rik",0,0,0,0,0,3,0,0
"492","1700080G11Rik",4,3,3,0,3,5,3,1
